date,open,high,low,close,volume
2017-10-28,296.23,297.9,291.75,293.25,5953.23551042
2017-10-29,293.78,311.0,292.97,303.59,12533.33952386
2017-10-30,303.02,310.99,303.0,306.6,8536.32402483
2017-10-31,306.6,310.4,301.28,303.26,13135.66930374
2017-11-01,303.25,306.25,287.0,289.07,14890.80828958
2017-11-02,289.05,293.12,275.0,284.83,30397.49366984
2017-11-03,284.79,309.42,282.24,305.28,25663.39957272
2017-11-04,305.3,306.9,292.0,300.55,8940.19614641
2017-11-05,300.73,301.46,294.03,294.6,5955.28560611
2017-11-06,295.72,304.48,291.5,296.62,19377.80677147
2017-11-07,297.33,306.23,284.01,292.79,30525.1415652
2017-11-08,292.52,321.99,291.06,307.88,32524.21168874
2017-11-09,307.88,331.7,306.5,321.32,31581.09654972
2017-11-10,320.18,325.61,291.0,298.66,34590.34843978
2017-11-11,298.65,322.19,298.0,315.76,23901.1130984
2017-11-12,315.29,318.98,300.11,306.1,48405.90567305
2017-11-13,306.11,320.69,305.91,316.14,36675.53656373
2017-11-14,315.81,340.99,314.95,335.54,48769.56525487
2017-11-15,335.54,340.0,323.19,331.88,27052.55090428
2017-11-16,332.44,335.16,321.0,329.91,34360.47747172
2017-11-17,330.88,334.86,325.0,331.25,24845.11826143
2017-11-18,331.2,349.31,326.3,346.96,26074.43356319
2017-11-19,346.96,372.0,344.01,354.48,32139.68458712
2017-11-20,354.49,372.88,350.0,366.0,28170.70037594
2017-11-21,367.52,372.94,345.52,359.6,51145.16929592
2017-11-22,359.93,383.94,358.33,380.88,34942.54547529
2017-11-23,381.78,426.04,370.11,406.75,77408.69415541
2017-11-24,406.75,478.99,395.0,471.17,84954.02729429
2017-11-25,470.73,483.0,451.0,463.0,31084.17084751
2017-11-26,461.89,472.76,438.09,467.0,29143.13609488
2017-11-27,468.99,487.0,456.24,474.67,53900.59365283
2017-11-28,474.21,478.15,457.61,464.95,49678.06856814
2017-11-29,464.1,519.23,403.0,423.9,129280.99805873
2017-11-30,424.0,455.99,388.0,435.09,59144.71280639
2017-12-01,435.0,469.4,415.16,460.3,30626.87441244
2017-12-02,459.6,472.32,447.0,456.04,23203.04203086
2017-12-03,456.06,482.8,441.02,463.0,33041.91584327
2017-12-04,463.0,473.9,446.2,467.83,31067.36127569
2017-12-05,467.83,471.9,450.49,455.76,22812.03047721
2017-12-06,453.71,459.85,405.88,415.83,50979.87361894
2017-12-07,417.09,436.42,400.0,411.03,50448.60557102
2017-12-08,411.38,454.85,391.0,440.27,58296.62632362
2017-12-09,441.58,497.99,430.2,456.38,49940.3503449
2017-12-10,456.41,459.44,401.33,425.07,29510.02802742
2017-12-11,421.17,505.0,421.17,503.47,44543.4473361
2017-12-12,500.9,645.55,487.0,620.59,104502.62988733
2017-12-13,622.42,742.23,585.0,694.5,127713.16912867
2017-12-14,694.5,745.0,647.5,689.69,89396.17077403
2017-12-15,689.82,692.5,601.13,676.36,54771.22414446
2017-12-16,676.37,711.77,665.5,684.0,23905.71516979
2017-12-17,683.98,726.0,683.06,706.91,27771.4217425
2017-12-18,709.96,800.39,671.56,787.28,57460.07555452
2017-12-19,786.98,870.0,772.91,817.72,87098.12962617
2017-12-20,816.98,833.67,721.02,797.1,81483.01657849
2017-12-21,799.91,842.73,752.0,783.8,75451.39348008
2017-12-22,786.99,792.5,501.0,669.36,163195.8047693
2017-12-23,670.11,755.0,649.57,699.86,40879.14344014
2017-12-24,702.83,704.93,604.19,686.96,45120.39316201
2017-12-25,691.72,750.0,684.0,724.0,42706.02483995
2017-12-26,724.98,765.0,716.7,751.09,24164.54087125
2017-12-27,751.1,770.0,704.54,738.78,53760.84887956
2017-12-28,738.73,739.8,666.0,717.23,40099.34231731
2017-12-29,719.89,758.0,709.0,732.67,44816.84091656
2017-12-30,733.05,740.72,659.06,698.46,59596.87471713
2017-12-31,698.45,759.08,687.03,743.48,24771.962541
2018-01-01,743.5,768.87,722.02,752.78,29181.94175805
2018-01-02,754.5,888.0,754.5,858.6,67628.4884339
2018-01-03,858.6,950.0,850.0,940.4,57117.2088194
2018-01-04,938.09,999.91,895.52,940.0,77160.74368814
2018-01-05,940.49,1022.0,924.69,966.0,52023.54146674
2018-01-06,967.46,1009.22,950.01,1004.27,29967.35739899
2018-01-07,1004.25,1118.72,1000.0,1117.96,47293.11325527
2018-01-08,1116.96,1229.76,964.0,1130.0,109474.64428074
2018-01-09,1135.94,1301.0,1115.0,1287.47,102885.3832567
2018-01-10,1287.45,1378.99,1187.96,1240.48,96347.51361575
2018-01-11,1247.79,1334.33,1100.0,1135.0,95639.75436083
2018-01-12,1139.45,1288.34,1080.59,1258.68,46451.21395109
2018-01-13,1258.68,1420.0,1256.0,1384.78,41803.410045
2018-01-14,1381.52,1389.0,1265.0,1359.59,35328.24387125
2018-01-15,1359.59,1379.0,1269.0,1276.71,33997.65406904
2018-01-16,1272.66,1281.16,862.11,1057.88,127923.04522706
2018-01-17,1057.88,1109.58,761.61,1029.22,179200.00301695
2018-01-18,1029.22,1105.0,951.12,1024.69,96056.33730588
2018-01-19,1024.66,1095.0,995.01,1036.03,49838.56906755
2018-01-20,1039.83,1171.0,1036.03,1150.0,31922.40626022
2018-01-21,1149.99,1151.0,1008.0,1049.09,37050.56478962
2018-01-22,1052.35,1092.0,917.0,997.21,48389.73439174
2018-01-23,999.29,1024.98,905.0,983.7,61938.02964865
2018-01-24,987.56,1069.65,957.69,1065.0,44493.76299656
2018-01-25,1064.84,1105.0,1014.48,1050.0,62196.24467522
